country,2008
Afghanistan,248k
Angola,129k
Albania,485
UAE,166
Argentina,4350
Armenia,465
Australia,606
Austria,147
Azerbaijan,3060
Burundi,33.1k
Belgium,295
Benin,28.1k
Burkina Faso,91.4k
Bangladesh,69k
Bulgaria,463
Bahrain,89
Bahamas,44
Bosnia and Herzegovina,227
Belarus,618
Belize,82
Bolivia,7660
Brazil,33.5k
Barbados,12
Brunei,25
Bhutan,676
Botswana,706
Central African Republic,18.7k
Canada,892
Switzerland,120
Chile,1060
China,164k
Cote d'Ivoire,49.9k
Cameroon,67.5k
"Congo, Dem. Rep.",391k
"Congo, Rep.",11.2k
Colombia,7060
Comoros,1380
Cape Verde,149
Costa Rica,281
Cuba,366
Cyprus,21
Czech Republic,210
Germany,1260
Djibouti,1380
Denmark,111
Dominican Republic,3190
Algeria,12.9k
Ecuador,3830
Egypt,17.6k
Eritrea,7210
Spain,1100
Estonia,46
Ethiopia,200k
Finland,89
Fiji,164
France,1410
"Micronesia, Fed. Sts.",67
Gabon,1930
UK,1930
Georgia,620
Ghana,32k
Guinea,37.3k
Gambia,4170
Guinea-Bissau,9250
Equatorial Guinea,2480
Greece,183
Grenada,4
Guatemala,10.7k
Guyana,511
Honduras,3030
Croatia,88
Haiti,12.4k
Hungary,304
Indonesia,92.9k
India,826k
Ireland,156
Iran,19.4k
Iraq,18.5k
Iceland,8
Israel,337
Italy,1080
Jamaica,1200
Jordan,1080
Japan,2360
Kazakhstan,4600
Kenya,139k
Kyrgyz Republic,2540
Cambodia,21.1k
South Korea,1420
Kuwait,262
Lao,6770
Lebanon,361
Liberia,13.9k
Libya,1070
St. Lucia,12
Sri Lanka,3070
Lesotho,2360
Lithuania,120
Luxembourg,9
Latvia,94
Morocco,8510
Moldova,445
Madagascar,47.1k
Maldives,73
Mexico,21.6k
North Macedonia,101
Mali,71.9k
Malta,18
Myanmar,74.4k
Montenegro,26
Mongolia,1350
Mozambique,72.9k
Mauritania,7510
Mauritius,123
Malawi,39.2k
Malaysia,1770
Namibia,1390
Niger,94.1k
Nigeria,779k
Nicaragua,2080
Netherlands,329
Norway,110
Nepal,14.2k
New Zealand,116
Oman,268
Pakistan,181k
Panama,919
Peru,7120
Philippines,40k
Papua New Guinea,8670
Poland,1080
North Korea,8870
Portugal,190
Paraguay,1980
Qatar,65
Romania,1400
Russia,7570
Rwanda,27k
Saudi Arabia,5530
Sudan,85.8k
Senegal,32.9k
Singapore,63
Solomon Islands,327
Sierra Leone,32.7k
El Salvador,1320
Somalia,52k
Serbia,324
Sao Tome and Principe,326
Suriname,143
Slovak Republic,231
Slovenia,20
Sweden,165
Eswatini,2240
Syria,4930
Chad,76.5k
Togo,13k
Thailand,4060
Tajikistan,7710
Turkmenistan,3010
Tonga,31
Trinidad and Tobago,213
Tunisia,1530
Turkey,10.6k
Tanzania,116k
Uganda,145k
Ukraine,3470
Uruguay,396
USA,16k
Uzbekistan,10.3k
St. Vincent and the Grenadines,7
Venezuela,4880
Vietnam,7850
Vanuatu,134
Samoa,61
Yemen,29.6k
South Africa,51.2k
Zambia,57.3k
Zimbabwe,24.8k
