country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Afghanistan,,,,,2,9,18,4,23,24,29,31,33,38,44,42,40,38,46,37,38,37,42,42
Angola,,,,,,,,,,,,,,,,16,16,18,23,33,29,22,25,35
Albania,,90,93,93,96,97,94,95,98,98,98,99,99,99,98,98,98,98,96,96,94,92,93,93
UAE,92,92,92,92,92,94,93,93,92,93,94,95,96,98,99,99,98,97,95,94,92,96,91,94
Argentina,56,56,83,80,93,88,91,84,88,96,94,91,89,83,96,87,88,89,99,84,71,79,94,54
Armenia,94,96,95,93,94,92,85,93,94,96,97,98,97,97,97,97,97,97,96,96,94,94,94,96
Azerbaijan,,65,67,66,67,67,68,75,79,83,89,92,95,98,98,98,98,97,96,97,79,90,91,93
Burundi,,,,,,,,,,,,,,51,60,65,72,75,77,80,83,85,85,80
Benin,,,,,,,,,,,,36,67,70,69,72,73,72,72,71,70,70,69,69
Burkina Faso,,,,,,,,,,,,,,,17,50,59,65,71,71,71,71,71,71
Bangladesh,,,,,,,,,,,,,41,82,89,90,92,93,93,93,93,93,93,93
Bulgaria,83,85,79,89,91,92,93,94,94,93,96,94,94,94,89,87,88,92,87,95,84,86,87,87
Bosnia and Herzegovina,74,86,90,85,88,90,93,95,92,88,91,88,94,93,92,88,78,80,76,68,60,63,60,63
Belarus,92,97,98,98,98,98,95,99,99,99,99,99,97,99,98,99,98,98,98,98,98,98,98,95
Belize,,,,,,87,92,89,90,92,91,98,93,92,92,95,96,88,91,95,87,77,76,88
Bolivia,,,,,,,,,,,,,,,,,,,38,44,46,56,49,50
Brazil,95,95,80,74,68,61,55,49,56,55,53,71,70,69,89,80,77,67,76,54,44,46,58,64
Brunei,95,95,96,96,97,95,94,92,90,99,93,93,96,92,96,97,97,98,98,98,97,99,99,99
Bhutan,,,,,,,,,72,79,85,95,90,89,92,94,90,99,91,92,92,91,97,97
Botswana,,,,,,,,,,,,,,83,85,80,74,74,74,76,66,70,77,79
Central African Republic,,,,,,,,,,,,8,47,23,45,44,43,40,40,40,40,40,40,40
Chile,,,,,96,96,95,95,89,89,84,77,74,78,88,89,87,90,93,91,83,91,81,70
China,86,86,86,87,87,87,94,94,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,97
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,1,20,43
Cameroon,,,,,,,,,,,,,,,,,,,,,22,28,36,45
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,18
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,9,29,31,34,34
Colombia,84,83,93,70,70,73,85,93,70,71,74,76,80,72,88,86,87,89,88,89,88,86,84,84
Comoros,,,,,,,,,,,,,,,,,,,,,,19,79,79
Cape Verde,,,,,,,,,,,,99,94,89,79,95,92,85,88,91,86,86,86,86
Costa Rica,,,,,,,,,89,84,79,80,95,92,90,90,87,93,93,93,81,69,75,83
Cuba,,,,,,53,97,99,98,95,98,95,96,97,98,99,99,99,99,99,99,99,99,99
Czech Republic,98,98,98,98,98,98,98,98,98,98,98,98,99,99,96,99,93,90,84,87,90,90,90,90
Djibouti,,,,,,,,,,,,,82,82,82,82,81,81,81,81,60,48,48,64
Dominica,,62,99,99,99,99,99,95,95,95,95,94,94,91,89,94,92,81,81,92,90,87,87,87
Dominican Republic,,,,,,,,,,,,,,,,,,,31,60,55,60,65,70
Algeria,78,73,93,96,94,94,98,95,96,98,95,96,95,93,99,99,96,92,77,76,74,73,71,93
Ecuador,,,,,,,,,,99,91,92,81,70,59,76,64,73,74,76,70,58,60,60
Egypt,97,99,96,97,96,97,97,97,96,96,97,97,92,96,93,92,96,94,94,94,94,96,96,95
Eritrea,,,,,,,,,,,,,,,,88,88,88,85,85,85,85,85,85
Estonia,89,84,94,96,97,98,98,96,97,96,95,95,94,92,93,92,92,91,88,90,87,84,84,84
Ethiopia,,,,,,,,,,,,,,,,,,,,41,46,46,48,53
Finland,,,,,,,,,,,92,92,92,92,92,92,87,85,88,89,86,82,87,87
Fiji,,,,,,74,94,94,93,93,93,93,92,92,86,94,83,86,89,72,71,78,84,83
France,,,,,,,,,,,61,67,72,75,77,79,80,80,83,86,90,91,92,93
"Micronesia, Fed. Sts.",50,64,65,66,74,84,85,86,84,82,75,75,70,75,75,74,45,52,48,52,62,38,38,59
Gabon,44,44,44,44,44,44,44,78,81,74,68,75,80,77,68,79,74,74,64,70,62,69,59,69
Georgia,,8,40,57,75,87,88,92,87,71,84,77,79,89,87,91,85,90,96,97,77,81,78,86
Ghana,,,,,,,,,,,,,52,54,67,63,75,83,83,83,79,83,84,78
Guinea,,,,,,,,,,,,,,,,,,,,,,,3,26
Gambia,,,,,,,,,,,,,56,53,73,81,79,68,71,61,61,61,52,73
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,1,36
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,17,13,28
Guatemala,,,,,,,,,,,,,,,,,67,89,78,78,79,79,71,77
Guyana,,88,80,71,63,72,74,90,84,84,82,84,90,95,91,95,94,93,84,92,97,83,99,99
Honduras,,,,,,,,,,,,,,,,,,,94,85,79,75,70,74
Croatia,,98,98,98,98,98,98,98,98,98,98,98,97,97,97,96,96,95,95,95,91,90,90,90
Haiti,,,,,,,,,,,,,,,,,26,25,38,41,41,41,41,41
Hungary,,,,,,,,,,,,84,90,92,93,94,98,99,99,99,99,99,99,99
Indonesia,,,,21,29,23,50,73,66,67,74,76,78,76,28,31,55,63,67,71,60,53,71,62
India,,,,,,,,,,,,27,36,51,60,69,76,80,82,84,81,82,90,90
Ireland,,,,,,,,,,,43,90,91,91,92,92,91,91,90,86,86,85,84,83
Iran,99,94,96,96,99,92,98,97,96,99,99,99,97,97,98,98,98,98,98,98,98,98,98,99
Iraq,,52,48,45,41,58,52,64,76,87,77,77,68,57,67,76,75,84,83,86,93,84,97,83
Jamaica,,96,96,95,95,91,88,84,80,78,56,60,76,71,72,83,85,95,82,92,89,85,83,89
Jordan,83,87,90,91,98,92,88,97,90,90,95,95,96,98,98,96,99,99,96,93,90,85,80,89
Japan,,,,,,,,,78,92,97,92,92,93,94,93,93,95,93,93,95,94,95,94
Kazakhstan,98,95,98,99,99,96,99,99,99,99,99,99,97,99,99,98,99,99,98,98,91,96,97,99
Kenya,,,,,,,,,,,,,,,,28,35,41,53,60,67,71,70,76
Kyrgyz Republic,96,98,98,98,98,98,97,95,97,98,98,98,98,97,97,96,98,96,96,98,93,97,95,93
Cambodia,,,,,,,,,,,,,41,52,61,59,64,67,64,75,72,63,69,64
Kiribati,,,,,,,,,,35,21,61,9,84,80,76,79,79,85,91,57,58,68,47
St. Kitts and Nevis,99,99,99,98,98,97,96,95,94,99,99,99,90,94,90,90,96,95,96,98,99,94,93,94
South Korea,39,67,95,95,99,99,99,99,99,99,98,98,97,95,96,97,97,97,97,96,95,95,95,96
Kuwait,,,,,,77,96,90,86,94,99,99,99,99,86,96,99,99,94,94,94,94,94,91
Lao,,,,,,,,,,,,,,,,,,1,70,56,64,50,55,68
Liberia,,,,,,,,,,,,,,,,,,,,13,30,35,59,60
Libya,,81,86,90,95,95,96,97,97,97,97,97,97,95,92,97,96,94,72,72,72,72,72,72
St. Lucia,89,73,71,69,67,56,45,33,22,63,74,72,80,62,79,95,88,73,68,75,71,66,63,83
Sri Lanka,,52,92,90,95,99,98,97,97,97,99,99,99,99,99,99,99,99,99,99,96,97,98,99
Lesotho,,46,50,47,56,68,80,80,80,81,81,82,82,82,82,82,82,82,82,82,82,82,75,82
Lithuania,97,96,95,93,93,95,94,96,96,94,95,94,93,92,92,92,92,92,92,93,91,88,87,86
Latvia,90,95,96,97,98,99,99,98,94,92,93,92,92,92,89,92,89,89,94,96,94,85,86,92
Morocco,,,,,91,92,92,92,,,,,,,54,95,99,99,99,99,99,99,99,99
Monaco,,,,,,,,,,,,,,,79,79,79,79,79,79,80,80,80,80
Moldova,,,69,96,98,98,99,95,97,98,98,96,95,94,93,90,95,92,96,95,93,92,93,93
Madagascar,,,,,,,,,,,,,,,,,,,,,14,24,32,47
