country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,8650,8670,8540,8950,10.6k,12.1k,12.6k,12.2k,12.5k,13.2k,13.8k,13.9k,13.3k,4290,1730,1690,2160,2610,4690,5920,4800,4770,5020,2350,1900,2170,1420,1430,2250,1060
Angola,5330,5370,5350,5410,5520,5630,5650,5600,5300,5210,5200,5380,5620,5890,1930,1520,1730,1460,1980,3920,2940,2980,2550,2390,2620,1570,1390,1710,1800,932
Albania,176,0,0,0.02,0.08,0.04,3.06,5.79,4.36,1.71,1.36,0.04,0.03,0.01,0.01,0.01,0.11,0.03,0.08,0,0.01,0.04,0.01,0,0.45,0.58,0.02,0.02,1.88,1.18
Andorra,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UAE,35.8,29.3,23.9,19.8,17.1,15,13.5,12.1,11,6.86,3.8,3.36,0.43,0.32,0.56,1.04,1.98,6.29,5.83,5.85,6.51,7.06,7.1,6.53,5.84,5.1,1.07,0.27,0.23,0.29
Argentina,13.1,12.2,8.37,4.56,2.15,0.63,0.52,0.27,0.42,0.18,0.06,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0,0.01,0,0,0.01,0.01,0.01
Armenia,0.02,0.01,0.01,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Samoa,1.5,1.52,1.55,1.52,1.45,1.41,1.39,1.38,1.39,1.38,1.33,1.27,1.21,1.15,1.08,1.02,0.98,0.94,0.9,0.87,0.84,0.78,0.71,0.66,0.61,0.58,0.55,0.53,0.52,0.5
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,0.19,0.2,0.19,0.13,0.1,0.06,0.02,0.01,0.01,0.01,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
Austria,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan,3.37,10.1,0.88,2.15,10.3,0.75,0.24,1.07,4.58,1.73,0.34,0.92,7.06,3.25,1.37,2.01,0.34,0,0.01,0.41,0,0,0,0.19,0,0,0,0,0.05,0.49
Burundi,3540,3470,3310,3190,2860,2740,2860,2830,2630,2590,2650,2680,928,167,144,222,443,760,1530,1530,981,749,969,539,551,845,969,997,293,199
Belgium,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0,0,0,0,0,0.01,0.01,0.01,0,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Benin,4670,4630,4570,4460,4380,4300,4260,4230,4210,4200,4130,4040,2720,2480,986,864,700,1010,1480,1810,1930,2710,1880,1970,2690,1260,1050,1470,1660,2220
Burkina Faso,8560,8720,8900,9030,9090,9120,9080,9070,9080,8070,4170,3540,774,639,1030,920,1290,3500,1820,2130,1340,1310,1100,1980,2770,1150,955,1460,1760,2080
Bangladesh,18.5k,17.7k,16.4k,14.9k,13.6k,12.7k,11.8k,11.1k,10.6k,10.1k,9510,9260,8700,8430,8230,8120,7410,1810,1250,1370,1730,1400,2320,2000,1790,203,125,134,168,292
Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0,0,0,0,0,0
Bahrain,7.21,6.35,5.45,4.67,4.11,3.66,3.2,2.81,2.45,0.59,0.2,0.17,0.17,0.25,0.54,0.66,0.62,0.62,0.62,0.61,0.6,0.65,0.66,0.65,0.63,0.59,0.53,0.49,0.44,0.39
Bahamas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina,0.98,0.34,0.28,0.49,1.75,0.25,4.51,6.57,4.27,0.19,0.06,1.42,0.04,0.02,0.03,0.03,0.02,0.17,0.01,0.02,0.04,0.01,0.02,1.33,2.11,1.2,0.1,0.01,0.04,1.52
Belarus,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belize,0.24,0.28,0.18,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bermuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia,4.36,10.7,23.8,16.2,6.72,0.34,0.03,0.03,4.13,5.94,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,90,46.5,24.1,14.3,9.63,6.47,4.19,2.91,1.64,1.01,0.66,0.54,0.45,0.42,0.38,0.33,0.3,0.27,0.27,0.26,0.23,0.22,0.22,0.25,0.23,0.23,0.25,0.28,0.23,0.21
